gene,Gname,Gnomon,Scaffold,Begin,End,Or,KOG_JGI
GENE:JGI_V11_222817,estExt_fgenesh1_pg.C_110240,NCBI_GNO_846113,scaffold_11,1547713,1549551,-,0
GENE:JGI_V11_222838,estExt_fgenesh1_pg.C_110276,NCBI_GNO_970113,scaffold_11,1741490,1743269,+,KOG2336
GENE:JGI_V11_222844,estExt_fgenesh1_pg.C_110287,NCBI_GNO_1010113,scaffold_11,1808543,1810560,+,KOG2767
GENE:JGI_V11_22285,gw1.8.325.1,NCBI_GNO_520084,scaffold_8,1707300,1712151,+,KOG3836
GENE:JGI_V11_222859,estExt_fgenesh1_pg.C_110313,NCBI_GNO_1154113,scaffold_11,2035659,2037439,+,KOG2846
GENE:JGI_V11_222870,estExt_fgenesh1_pg.C_120017,NCBI_GNO_128124,scaffold_12,66862,70591,-,KOG3692
GENE:JGI_V11_222872,estExt_fgenesh1_pg.C_120021,NCBI_GNO_134124,scaffold_12,78507,79092,+,KOG4113
GENE:JGI_V11_222874,estExt_fgenesh1_pg.C_120031,NCBI_GNO_150124,scaffold_12,206325,207067,-,0
GENE:JGI_V11_222879,estExt_fgenesh1_pg.C_120044,0,scaffold_12,273767,275197,-,0
GENE:JGI_V11_222900,estExt_fgenesh1_pg.C_120065,NCBI_GNO_172123,scaffold_12,302294,303663,-,KOG0752
GENE:JGI_V11_222913,estExt_fgenesh1_pg.C_120095,NCBI_GNO_246124,scaffold_12,551081,553094,+,KOG1065
GENE:JGI_V11_222916,estExt_fgenesh1_pg.C_120102,NCBI_GNO_270124,scaffold_12,581419,586603,+,KOG0414
GENE:JGI_V11_222925,estExt_fgenesh1_pg.C_120120,NCBI_GNO_414123,scaffold_12,754695,756976,+,KOG0653
GENE:JGI_V11_222950,estExt_fgenesh1_pg.C_120159,NCBI_GNO_554123,scaffold_12,884101,889419,-,KOG0261
GENE:JGI_V11_222961,estExt_fgenesh1_pg.C_120188,NCBI_GNO_648123,scaffold_12,1040469,1041695,+,KOG2510
GENE:JGI_V11_222963,estExt_fgenesh1_pg.C_120190,NCBI_GNO_386124,scaffold_12,1044270,1046179,-,KOG0260
GENE:JGI_V11_222971,estExt_fgenesh1_pg.C_120200,NCBI_GNO_692123,scaffold_12,1066990,1068764,+,0
GENE:JGI_V11_222984,estExt_fgenesh1_pg.C_120239,NCBI_GNO_464124,scaffold_12,1387078,1393570,+,KOG0946
GENE:JGI_V11_222994,estExt_fgenesh1_pg.C_120262,NCBI_GNO_508124,scaffold_12,1491177,1493528,+,0
GENE:JGI_V11_222995,estExt_fgenesh1_pg.C_120264,NCBI_GNO_510124,scaffold_12,1505986,1508335,+,0
GENE:JGI_V11_223002,estExt_fgenesh1_pg.C_120273,NCBI_GNO_944123,scaffold_12,1539941,1540932,+,0
GENE:JGI_V11_223010,estExt_fgenesh1_pg.C_120313,NCBI_GNO_628124,scaffold_12,1858074,1861150,+,KOG0343
GENE:JGI_V11_223019,estExt_fgenesh1_pg.C_120329,NCBI_GNO_652124,scaffold_12,1924438,1927227,-,0
GENE:JGI_V11_223021,estExt_fgenesh1_pg.C_130001,NCBI_GNO_94134,scaffold_13,3745,4830,+,0
GENE:JGI_V11_223022,estExt_fgenesh1_pg.C_130014,NCBI_GNO_10133,scaffold_13,142375,143066,+,0
GENE:JGI_V11_223037,estExt_fgenesh1_pg.C_130057,NCBI_GNO_192134,scaffold_13,351595,352560,+,0
GENE:JGI_V11_223049,estExt_fgenesh1_pg.C_130086,NCBI_GNO_162133,scaffold_13,490038,491595,-,0
GENE:JGI_V11_223050,estExt_fgenesh1_pg.C_130088,NCBI_GNO_168133,scaffold_13,501742,505571,-,KOG1878
GENE:JGI_V11_223051,estExt_fgenesh1_pg.C_130089,NCBI_GNO_188133,scaffold_13,505815,507188,+,0
GENE:JGI_V11_223052,estExt_fgenesh1_pg.C_130090,NCBI_GNO_168133,scaffold_13,507413,509236,+,KOG0084
GENE:JGI_V11_223058,estExt_fgenesh1_pg.C_130098,NCBI_GNO_258134,scaffold_13,530416,532768,-,KOG3868
GENE:JGI_V11_223065,estExt_fgenesh1_pg.C_130109,NCBI_GNO_270134,scaffold_13,570763,572264,-,KOG1620
GENE:JGI_V11_223069,estExt_fgenesh1_pg.C_130115,NCBI_GNO_286134,scaffold_13,618399,621648,-,KOG2242
GENE:JGI_V11_22307,gw1.32.106.1,NCBI_GNO_232324,scaffold_32,1080053,1088293,+,KOG3656
GENE:JGI_V11_223070,estExt_fgenesh1_pg.C_130116,NCBI_GNO_288134,scaffold_13,623246,625225,+,KOG3544
GENE:JGI_V11_223071,estExt_fgenesh1_pg.C_130119,NCBI_GNO_292134,scaffold_13,632710,633637,+,0
GENE:JGI_V11_223072,estExt_fgenesh1_pg.C_130120,NCBI_GNO_264133,scaffold_13,634329,635493,-,0
GENE:JGI_V11_223076,estExt_fgenesh1_pg.C_130126,NCBI_GNO_310134,scaffold_13,704822,706290,-,KOG1987
GENE:JGI_V11_223098,estExt_fgenesh1_pg.C_130162,NCBI_GNO_368134,scaffold_13,856564,858824,-,KOG3119
GENE:JGI_V11_223102,estExt_fgenesh1_pg.C_130173,NCBI_GNO_436133,scaffold_13,918104,919672,-,KOG3378
GENE:JGI_V11_223104,estExt_fgenesh1_pg.C_130177,NCBI_GNO_390134,scaffold_13,928140,929398,+,0
GENE:JGI_V11_223107,estExt_fgenesh1_pg.C_130185,NCBI_GNO_408134,scaffold_13,961279,965075,+,KOG3656
GENE:JGI_V11_223110,estExt_fgenesh1_pg.C_130189,NCBI_GNO_476133,scaffold_13,1044073,1045901,-,0
GENE:JGI_V11_223125,estExt_fgenesh1_pg.C_130212,NCBI_GNO_510133,scaffold_13,1137829,1139746,+,KOG0776
GENE:JGI_V11_223127,estExt_fgenesh1_pg.C_130214,NCBI_GNO_442134,scaffold_13,1142184,1144737,+,0
GENE:JGI_V11_223140,estExt_fgenesh1_pg.C_130242,NCBI_GNO_496134,scaffold_13,1290255,1293678,-,KOG0236
GENE:JGI_V11_223144,estExt_fgenesh1_pg.C_130261,NCBI_GNO_530134,scaffold_13,1408335,1415457,+,KOG1216
GENE:JGI_V11_223145,estExt_fgenesh1_pg.C_130263,NCBI_GNO_534134,scaffold_13,1420277,1421757,+,KOG4459
GENE:JGI_V11_223147,estExt_fgenesh1_pg.C_130265,NCBI_GNO_654133,scaffold_13,1428805,1430623,+,KOG2869
GENE:JGI_V11_223148,estExt_fgenesh1_pg.C_130266,NCBI_GNO_538134,scaffold_13,1440421,1442488,-,0
GENE:JGI_V11_223152,estExt_fgenesh1_pg.C_130271,NCBI_GNO_548134,scaffold_13,1454917,1458550,-,KOG3544
GENE:JGI_V11_223154,estExt_fgenesh1_pg.C_130274,NCBI_GNO_552134,scaffold_13,1467184,1469577,+,KOG2918
GENE:JGI_V11_223163,estExt_fgenesh1_pg.C_130284,NCBI_GNO_728133,scaffold_13,1491143,1493015,-,0
GENE:JGI_V11_223164,estExt_fgenesh1_pg.C_130285,NCBI_GNO_564134,scaffold_13,1494965,1499118,+,KOG0946
GENE:JGI_V11_223174,estExt_fgenesh1_pg.C_130305,NCBI_GNO_794133,scaffold_13,1608598,1609710,-,KOG2683
GENE:JGI_V11_223192,estExt_fgenesh1_pg.C_140029,NCBI_GNO_36143,scaffold_14,121230,122092,-,0
GENE:JGI_V11_223195,estExt_fgenesh1_pg.C_140032,NCBI_GNO_158144,scaffold_14,132322,134419,-,KOG2539
GENE:JGI_V11_223236,estExt_fgenesh1_pg.C_140179,NCBI_GNO_480144,scaffold_14,1135441,1136307,-,KOG2806
GENE:JGI_V11_223256,estExt_fgenesh1_pg.C_140217,NCBI_GNO_424143,scaffold_14,1297534,1298307,-,0
GENE:JGI_V11_223258,estExt_fgenesh1_pg.C_140226,NCBI_GNO_554144,scaffold_14,1315541,1316647,-,KOG3544
GENE:JGI_V11_223263,estExt_fgenesh1_pg.C_140240,NCBI_GNO_578144,scaffold_14,1360800,1361983,+,KOG0260
GENE:JGI_V11_223280,estExt_fgenesh1_pg.C_140270,NCBI_GNO_610144,scaffold_14,1465480,1473243,-,KOG1825
GENE:JGI_V11_223281,estExt_fgenesh1_pg.C_140274,NCBI_GNO_620144,scaffold_14,1485807,1486460,+,KOG1042
GENE:JGI_V11_223322,estExt_fgenesh1_pg.C_150013,NCBI_GNO_122154,scaffold_15,91599,92093,+,KOG1467
GENE:JGI_V11_223325,estExt_fgenesh1_pg.C_150018,NCBI_GNO_134154,scaffold_15,104730,106054,-,0
GENE:JGI_V11_223327,estExt_fgenesh1_pg.C_150021,NCBI_GNO_140154,scaffold_15,116792,117818,+,KOG0118
GENE:JGI_V11_223347,estExt_fgenesh1_pg.C_150054,NCBI_GNO_148153,scaffold_15,255354,257647,+,KOG2650
GENE:JGI_V11_223358,estExt_fgenesh1_pg.C_150069,NCBI_GNO_196154,scaffold_15,296663,298625,-,0
GENE:JGI_V11_223387,estExt_fgenesh1_pg.C_150136,NCBI_GNO_296154,scaffold_15,674683,676200,-,0
GENE:JGI_V11_223388,estExt_fgenesh1_pg.C_150137,NCBI_GNO_298154,scaffold_15,677693,678878,+,KOG3752
GENE:JGI_V11_223446,estExt_fgenesh1_pg.C_150240,NCBI_GNO_440154,scaffold_15,1344643,1346394,+,0
GENE:JGI_V11_223447,estExt_fgenesh1_pg.C_150242,NCBI_GNO_826153,scaffold_15,1349175,1350288,-,0
GENE:JGI_V11_223483,estExt_fgenesh1_pg.C_160004,NCBI_GNO_56164,scaffold_16,37206,38135,+,0
GENE:JGI_V11_223518,estExt_fgenesh1_pg.C_160086,NCBI_GNO_200164,scaffold_16,504025,505202,-,KOG1027
GENE:JGI_V11_223519,estExt_fgenesh1_pg.C_160089,NCBI_GNO_212164,scaffold_16,519818,521275,-,0
GENE:JGI_V11_22352,gw1.41.55.1,NCBI_GNO_76374,scaffold_41,253840,255578,+,KOG1043
GENE:JGI_V11_223524,estExt_fgenesh1_pg.C_160105,NCBI_GNO_250164,scaffold_16,607982,609674,-,KOG4743
GENE:JGI_V11_223527,estExt_fgenesh1_pg.C_160117,NCBI_GNO_266164,scaffold_16,670046,671394,-,KOG4430
GENE:JGI_V11_223528,estExt_fgenesh1_pg.C_160118,NCBI_GNO_268164,scaffold_16,672578,674863,-,KOG0701
GENE:JGI_V11_223533,estExt_fgenesh1_pg.C_160129,NCBI_GNO_282164,scaffold_16,829759,831425,-,KOG0584
GENE:JGI_V11_223537,estExt_fgenesh1_pg.C_160148,NCBI_GNO_316164,scaffold_16,909780,910493,+,0
GENE:JGI_V11_223556,estExt_fgenesh1_pg.C_160195,NCBI_GNO_402164,scaffold_16,1102889,1103758,-,0
GENE:JGI_V11_223560,estExt_fgenesh1_pg.C_160203,NCBI_GNO_398163,scaffold_16,1118805,1121935,+,0
GENE:JGI_V11_223573,estExt_fgenesh1_pg.C_160223,NCBI_GNO_438164,scaffold_16,1178394,1180097,+,0
GENE:JGI_V11_223575,estExt_fgenesh1_pg.C_160242,NCBI_GNO_444163,scaffold_16,1348429,1349363,-,0
GENE:JGI_V11_223576,estExt_fgenesh1_pg.C_160252,NCBI_GNO_494164,scaffold_16,1455740,1457485,+,KOG1027
GENE:JGI_V11_223590,estExt_fgenesh1_pg.C_160286,NCBI_GNO_544164,scaffold_16,1601094,1602056,-,0
GENE:JGI_V11_223594,estExt_fgenesh1_pg.C_170014,NCBI_GNO_142174,scaffold_17,57197,58340,-,KOG1695
GENE:JGI_V11_223595,estExt_fgenesh1_pg.C_170018,NCBI_GNO_150174,scaffold_17,74429,77411,+,KOG0303
GENE:JGI_V11_223598,estExt_fgenesh1_pg.C_170024,NCBI_GNO_164174,scaffold_17,99434,100922,+,0
GENE:JGI_V11_223601,estExt_fgenesh1_pg.C_170041,NCBI_GNO_202174,scaffold_17,186765,189098,+,0
GENE:JGI_V11_223605,estExt_fgenesh1_pg.C_170049,NCBI_GNO_220174,scaffold_17,224393,227345,-,0
GENE:JGI_V11_223609,estExt_fgenesh1_pg.C_170080,NCBI_GNO_300174,scaffold_17,340609,342408,+,KOG1987
GENE:JGI_V11_223612,estExt_fgenesh1_pg.C_170091,NCBI_GNO_144173,scaffold_17,391722,392672,-,KOG4118
GENE:JGI_V11_223635,estExt_fgenesh1_pg.C_170127,NCBI_GNO_212173,scaffold_17,489663,491542,-,0
GENE:JGI_V11_223641,estExt_fgenesh1_pg.C_170148,NCBI_GNO_254173,scaffold_17,597139,599022,+,0
GENE:JGI_V11_223657,estExt_fgenesh1_pg.C_170188,NCBI_GNO_376173,scaffold_17,782950,784539,+,0
GENE:JGI_V11_223658,estExt_fgenesh1_pg.C_170189,NCBI_GNO_382173,scaffold_17,784641,786698,-,0
GENE:JGI_V11_223674,estExt_fgenesh1_pg.C_170208,NCBI_GNO_440173,scaffold_17,825545,828114,-,KOG0668
GENE:JGI_V11_223679,estExt_fgenesh1_pg.C_170214,NCBI_GNO_466173,scaffold_17,835738,836709,-,0
GENE:JGI_V11_223696,estExt_fgenesh1_pg.C_170246,NCBI_GNO_524174,scaffold_17,957633,959073,-,KOG4157
GENE:JGI_V11_223699,estExt_fgenesh1_pg.C_170250,NCBI_GNO_530174,scaffold_17,970425,973185,+,KOG2434
GENE:JGI_V11_223703,estExt_fgenesh1_pg.C_170257,NCBI_GNO_542174,scaffold_17,1013615,1015897,+,KOG2561
GENE:JGI_V11_223706,estExt_fgenesh1_pg.C_170265,NCBI_GNO_592173,scaffold_17,1051063,1051992,+,0
GENE:JGI_V11_223730,estExt_fgenesh1_pg.C_170305,NCBI_GNO_738173,scaffold_17,1208563,1209553,+,KOG1695
GENE:JGI_V11_223734,estExt_fgenesh1_pg.C_170322,NCBI_GNO_654174,scaffold_17,1281682,1282862,+,KOG3544
GENE:JGI_V11_223736,estExt_fgenesh1_pg.C_170325,NCBI_GNO_660174,scaffold_17,1297118,1299152,+,KOG3714
GENE:JGI_V11_223739,estExt_fgenesh1_pg.C_170329,NCBI_GNO_778173,scaffold_17,1305992,1307724,-,KOG0440
GENE:JGI_V11_223758,estExt_fgenesh1_pg.C_170364,NCBI_GNO_714174,scaffold_17,1414052,1418909,+,0
GENE:JGI_V11_223760,estExt_fgenesh1_pg.C_170366,NCBI_GNO_854173,scaffold_17,1419300,1421597,+,KOG4310
GENE:JGI_V11_223764,estExt_fgenesh1_pg.C_170371,NCBI_GNO_722174,scaffold_17,1444734,1445979,-,0
GENE:JGI_V11_223773,estExt_fgenesh1_pg.C_180011,NCBI_GNO_90184,scaffold_18,30970,32302,-,KOG1716
GENE:JGI_V11_223778,estExt_fgenesh1_pg.C_180024,NCBI_GNO_102184,scaffold_18,97441,98717,-,KOG3599
GENE:JGI_V11_223803,estExt_fgenesh1_pg.C_180086,NCBI_GNO_222184,scaffold_18,362846,364747,-,KOG0143
GENE:JGI_V11_223807,estExt_fgenesh1_pg.C_180098,NCBI_GNO_248184,scaffold_18,414243,414869,-,KOG3592
GENE:JGI_V11_22381,gw1.16.97.1,NCBI_GNO_546164,scaffold_16,1608609,1616503,+,KOG3656
GENE:JGI_V11_223817,estExt_fgenesh1_pg.C_180128,NCBI_GNO_208183,scaffold_18,517678,518872,-,0
GENE:JGI_V11_223830,estExt_fgenesh1_pg.C_180151,NCBI_GNO_362184,scaffold_18,630142,630939,+,KOG2806
GENE:JGI_V11_223831,estExt_fgenesh1_pg.C_180152,NCBI_GNO_364184,scaffold_18,631127,634052,-,KOG2624
GENE:JGI_V11_223834,estExt_fgenesh1_pg.C_180158,NCBI_GNO_378184,scaffold_18,654677,656195,+,KOG1584
GENE:JGI_V11_223838,estExt_fgenesh1_pg.C_180179,NCBI_GNO_416184,scaffold_18,751635,752743,+,0
GENE:JGI_V11_223849,estExt_fgenesh1_pg.C_180206,NCBI_GNO_472184,scaffold_18,859682,860495,-,KOG3544
GENE:JGI_V11_223867,estExt_fgenesh1_pg.C_180237,NCBI_GNO_552184,scaffold_18,957458,958494,-,0
GENE:JGI_V11_223872,estExt_fgenesh1_pg.C_180266,NCBI_GNO_628184,scaffold_18,1091907,1094507,+,KOG0161
GENE:JGI_V11_223896,estExt_fgenesh1_pg.C_180318,NCBI_GNO_744184,scaffold_18,1270201,1272215,-,KOG3627
GENE:JGI_V11_223905,estExt_fgenesh1_pg.C_180329,NCBI_GNO_456183,scaffold_18,1292962,1294526,+,KOG3627
GENE:JGI_V11_223908,estExt_fgenesh1_pg.C_180341,NCBI_GNO_790184,scaffold_18,1337347,1338929,+,KOG1928
GENE:JGI_V11_223926,estExt_fgenesh1_pg.C_190016,NCBI_GNO_108194,scaffold_19,266026,268305,+,0
GENE:JGI_V11_223930,estExt_fgenesh1_pg.C_190038,NCBI_GNO_110193,scaffold_19,384659,386903,-,KOG1030
GENE:JGI_V11_223934,estExt_fgenesh1_pg.C_190048,NCBI_GNO_132193,scaffold_19,453583,456028,+,KOG3677
GENE:JGI_V11_223935,estExt_fgenesh1_pg.C_190051,NCBI_GNO_142193,scaffold_19,479325,480951,+,0
GENE:JGI_V11_223957,estExt_fgenesh1_pg.C_190080,NCBI_GNO_234193,scaffold_19,604792,606229,-,0
GENE:JGI_V11_223988,estExt_fgenesh1_pg.C_190127,NCBI_GNO_238194,scaffold_19,864693,865832,+,0
GENE:JGI_V11_224067,estExt_fgenesh1_pg.C_200031,NCBI_GNO_170204,scaffold_20,241063,248288,+,KOG2408
GENE:JGI_V11_224074,estExt_fgenesh1_pg.C_200040,NCBI_GNO_184204,scaffold_20,355981,358041,+,KOG2806
GENE:JGI_V11_224075,estExt_fgenesh1_pg.C_200041,NCBI_GNO_186204,scaffold_20,361013,364302,+,KOG2806
GENE:JGI_V11_224078,estExt_fgenesh1_pg.C_200050,NCBI_GNO_206204,scaffold_20,403573,404733,+,KOG1701
GENE:JGI_V11_224080,estExt_fgenesh1_pg.C_200054,NCBI_GNO_206204,scaffold_20,408234,410656,+,0
GENE:JGI_V11_224101,estExt_fgenesh1_pg.C_200085,NCBI_GNO_244204,scaffold_20,585285,589060,+,KOG1216
GENE:JGI_V11_224133,estExt_fgenesh1_pg.C_200138,NCBI_GNO_320204,scaffold_20,882936,886543,-,KOG3660
GENE:JGI_V11_224136,estExt_fgenesh1_pg.C_200141,NCBI_GNO_364203,scaffold_20,901182,902614,+,0
GENE:JGI_V11_224137,estExt_fgenesh1_pg.C_200145,NCBI_GNO_372203,scaffold_20,911778,914291,+,0
GENE:JGI_V11_224138,estExt_fgenesh1_pg.C_200146,NCBI_GNO_340204,scaffold_20,915730,917195,-,KOG0260
GENE:JGI_V11_224143,estExt_fgenesh1_pg.C_200155,NCBI_GNO_354204,scaffold_20,947660,948365,+,KOG0335
GENE:JGI_V11_224144,estExt_fgenesh1_pg.C_200157,NCBI_GNO_398203,scaffold_20,951906,952673,+,KOG0335
GENE:JGI_V11_224146,estExt_fgenesh1_pg.C_200160,NCBI_GNO_422203,scaffold_20,957890,958689,-,KOG2806
GENE:JGI_V11_224167,estExt_fgenesh1_pg.C_200193,NCBI_GNO_416204,scaffold_20,1125939,1130190,+,KOG1806
GENE:JGI_V11_224172,estExt_fgenesh1_pg.C_200203,NCBI_GNO_594203,scaffold_20,1206973,1208763,-,KOG2061
GENE:JGI_V11_224175,estExt_fgenesh1_pg.C_200208,NCBI_GNO_438204,scaffold_20,1226381,1231287,-,KOG1869
GENE:JGI_V11_224189,estExt_fgenesh1_pg.C_200234,NCBI_GNO_482204,scaffold_20,1393822,1394547,-,KOG0118
GENE:JGI_V11_224195,estExt_fgenesh1_pg.C_200241,NCBI_GNO_708203,scaffold_20,1414202,1415594,-,KOG2487
GENE:JGI_V11_224227,estExt_fgenesh1_pg.C_210102,NCBI_GNO_322214,scaffold_21,555317,556260,+,0
GENE:JGI_V11_224229,estExt_fgenesh1_pg.C_210104,NCBI_GNO_328214,scaffold_21,562484,563581,+,0
GENE:JGI_V11_224253,estExt_fgenesh1_pg.C_210153,NCBI_GNO_346213,scaffold_21,856003,858344,-,KOG4568
GENE:JGI_V11_224268,estExt_fgenesh1_pg.C_210178,NCBI_GNO_408213,scaffold_21,954785,956285,-,KOG4813
GENE:JGI_V11_224273,estExt_fgenesh1_pg.C_210183,NCBI_GNO_432214,scaffold_21,969501,970871,-,KOG3627
GENE:JGI_V11_224278,estExt_fgenesh1_pg.C_210189,NCBI_GNO_440214,scaffold_21,977688,979384,-,KOG3627
GENE:JGI_V11_224305,estExt_fgenesh1_pg.C_210236,NCBI_GNO_486214,scaffold_21,1144039,1145220,+,KOG0118
GENE:JGI_V11_224315,estExt_fgenesh1_pg.C_210260,NCBI_GNO_524214,scaffold_21,1279282,1281709,-,KOG0010
GENE:JGI_V11_224324,estExt_fgenesh1_pg.C_210282,NCBI_GNO_552214,scaffold_21,1438253,1440933,-,0
GENE:JGI_V11_224340,estExt_fgenesh1_pg.C_220071,NCBI_GNO_196224,scaffold_22,501044,502019,+,0
GENE:JGI_V11_224345,estExt_fgenesh1_pg.C_230001,NCBI_GNO_62234,scaffold_23,25379,26415,-,0
GENE:JGI_V11_224346,estExt_fgenesh1_pg.C_230002,NCBI_GNO_233,scaffold_23,26767,27952,-,0
GENE:JGI_V11_224348,estExt_fgenesh1_pg.C_230006,NCBI_GNO_76234,scaffold_23,75183,81414,-,KOG4597
GENE:JGI_V11_224357,estExt_fgenesh1_pg.C_230035,NCBI_GNO_74233,scaffold_23,283558,284324,-,0
GENE:JGI_V11_224358,estExt_fgenesh1_pg.C_230037,NCBI_GNO_150234,scaffold_23,290880,291841,-,0
GENE:JGI_V11_224362,estExt_fgenesh1_pg.C_230042,NCBI_GNO_94233,scaffold_23,315457,316063,+,0
GENE:JGI_V11_224364,estExt_fgenesh1_pg.C_230053,NCBI_GNO_180234,scaffold_23,380546,382633,+,KOG2685
GENE:JGI_V11_224373,estExt_fgenesh1_pg.C_230069,NCBI_GNO_204234,scaffold_23,438336,439515,-,KOG1928
GENE:JGI_V11_224383,estExt_fgenesh1_pg.C_230085,NCBI_GNO_230234,scaffold_23,549299,558237,-,KOG2127
GENE:JGI_V11_224392,estExt_fgenesh1_pg.C_230097,NCBI_GNO_248234,scaffold_23,593918,596294,+,KOG3516
GENE:JGI_V11_224393,estExt_fgenesh1_pg.C_230099,NCBI_GNO_254234,scaffold_23,601229,603709,+,KOG3516
GENE:JGI_V11_224415,estExt_fgenesh1_pg.C_230134,NCBI_GNO_326234,scaffold_23,841835,845302,+,KOG4205
GENE:JGI_V11_224437,estExt_fgenesh1_pg.C_230164,NCBI_GNO_360234,scaffold_23,945942,947406,-,0
GENE:JGI_V11_224443,estExt_fgenesh1_pg.C_230177,NCBI_GNO_510233,scaffold_23,1061422,1064073,-,KOG2914
GENE:JGI_V11_224457,estExt_fgenesh1_pg.C_230198,NCBI_GNO_616233,scaffold_23,1332127,1334548,+,KOG3736
GENE:JGI_V11_224478,estExt_fgenesh1_pg.C_240033,NCBI_GNO_140244,scaffold_24,164317,167451,+,KOG0161
GENE:JGI_V11_224483,estExt_fgenesh1_pg.C_240051,NCBI_GNO_176244,scaffold_24,345891,347558,+,0
GENE:JGI_V11_224487,estExt_fgenesh1_pg.C_240059,NCBI_GNO_194244,scaffold_24,396089,398641,+,KOG2650
GENE:JGI_V11_224492,estExt_fgenesh1_pg.C_240070,NCBI_GNO_196243,scaffold_24,554457,556708,+,KOG0273
GENE:JGI_V11_224569,estExt_fgenesh1_pg.C_240192,NCBI_GNO_526243,scaffold_24,995897,996632,-,KOG3587
GENE:JGI_V11_224590,estExt_fgenesh1_pg.C_240229,NCBI_GNO_668243,scaffold_24,1135651,1137523,-,0
GENE:JGI_V11_224629,estExt_fgenesh1_pg.C_250025,NCBI_GNO_118254,scaffold_25,189214,190179,-,KOG4293
GENE:JGI_V11_224635,estExt_fgenesh1_pg.C_250035,NCBI_GNO_140254,scaffold_25,228592,230207,+,0
GENE:JGI_V11_224638,estExt_fgenesh1_pg.C_250042,NCBI_GNO_156254,scaffold_25,251379,254312,+,KOG4293
GENE:JGI_V11_224645,estExt_fgenesh1_pg.C_250055,NCBI_GNO_176254,scaffold_25,291953,295151,+,KOG1181
GENE:JGI_V11_224649,estExt_fgenesh1_pg.C_250062,NCBI_GNO_190254,scaffold_25,330136,332937,+,KOG4849
GENE:JGI_V11_224682,estExt_fgenesh1_pg.C_250122,NCBI_GNO_294254,scaffold_25,616799,617579,-,0
GENE:JGI_V11_224701,estExt_fgenesh1_pg.C_250153,NCBI_GNO_334254,scaffold_25,679225,684059,-,KOG1729
GENE:JGI_V11_224768,estExt_fgenesh1_pg.C_250271,NCBI_GNO_470254,scaffold_25,1086108,1087946,-,KOG4341
GENE:JGI_V11_224770,estExt_fgenesh1_pg.C_250273,NCBI_GNO_474254,scaffold_25,1092435,1095416,+,KOG1216
GENE:JGI_V11_224775,estExt_fgenesh1_pg.C_250281,NCBI_GNO_714253,scaffold_25,1136847,1138852,+,KOG3516
GENE:JGI_V11_224783,estExt_fgenesh1_pg.C_250292,NCBI_GNO_510254,scaffold_25,1173911,1176323,-,KOG4387
GENE:JGI_V11_224784,estExt_fgenesh1_pg.C_250295,NCBI_GNO_742253,scaffold_25,1203114,1207546,+,KOG1859
GENE:JGI_V11_224791,estExt_fgenesh1_pg.C_250302,NCBI_GNO_526254,scaffold_25,1217136,1220514,-,KOG1215
GENE:JGI_V11_224833,estExt_fgenesh1_pg.C_260187,0,scaffold_26,1226610,1227639,+,KOG4297
GENE:JGI_V11_224844,estExt_fgenesh1_pg.C_270067,0,scaffold_27,663805,665899,+,0
GENE:JGI_V11_224848,estExt_fgenesh1_pg.C_270097,NCBI_GNO_234274,scaffold_27,890198,891121,-,KOG0803
GENE:JGI_V11_224882,estExt_fgenesh1_pg.C_280042,NCBI_GNO_132284,scaffold_28,163552,164874,+,0
GENE:JGI_V11_224885,estExt_fgenesh1_pg.C_280045,NCBI_GNO_134284,scaffold_28,171170,173116,-,KOG3516
GENE:JGI_V11_224887,estExt_fgenesh1_pg.C_280047,NCBI_GNO_138284,scaffold_28,189390,192530,+,KOG1721
GENE:JGI_V11_224893,estExt_fgenesh1_pg.C_280064,NCBI_GNO_158283,scaffold_28,309606,312499,-,KOG1029
GENE:JGI_V11_224982,estExt_fgenesh1_pg.C_280216,NCBI_GNO_380284,scaffold_28,1097035,1099410,-,KOG0395
GENE:JGI_V11_224986,estExt_fgenesh1_pg.C_280230,NCBI_GNO_398284,scaffold_28,1166076,1169373,+,KOG2146
GENE:JGI_V11_224995,estExt_fgenesh1_pg.C_290017,NCBI_GNO_84294,scaffold_29,63869,66013,+,KOG3516
GENE:JGI_V11_225009,estExt_fgenesh1_pg.C_290045,NCBI_GNO_130294,scaffold_29,310330,311604,+,KOG4297
GENE:JGI_V11_225020,estExt_fgenesh1_pg.C_290084,NCBI_GNO_518293,scaffold_29,557245,562297,+,KOG0917
GENE:JGI_V11_225024,estExt_fgenesh1_pg.C_290092,NCBI_GNO_218294,scaffold_29,595288,597562,-,KOG2191
GENE:JGI_V11_225026,estExt_fgenesh1_pg.C_290099,NCBI_GNO_234294,scaffold_29,626410,628274,-,KOG3627
GENE:JGI_V11_225028,estExt_fgenesh1_pg.C_290110,NCBI_GNO_256294,scaffold_29,669392,671400,-,KOG3627
GENE:JGI_V11_225030,estExt_fgenesh1_pg.C_290117,NCBI_GNO_270294,scaffold_29,785503,787181,-,KOG1721
GENE:JGI_V11_225033,estExt_fgenesh1_pg.C_290125,NCBI_GNO_394293,scaffold_29,822462,824058,-,KOG1818
GENE:JGI_V11_225062,estExt_fgenesh1_pg.C_290165,NCBI_GNO_84293,scaffold_29,974296,975585,+,KOG0034
GENE:JGI_V11_225079,estExt_fgenesh1_pg.C_290199,NCBI_GNO_380294,scaffold_29,1142740,1144183,-,0
