kog_sub_cat	kog_id	kog_id_desc
K	KOG1083	PutativetranscriptionfactorASH1/LIN-59
K	KOG1084	TranscriptionfactorTCF20
R	KOG1085	Predictedmethyltransferase(containsaSETdomain)
U	KOG1086	Cytosolicsortingprotein/ADP-ribosylationfactoreffectorGGA
U	KOG1087	CytosolicsortingproteinGGA2/TOM1
S	KOG1088	Uncharacterizedconservedprotein
R	KOG1089	Myotubularin-relatedphosphatidylinositol3-phosphate3-phosphataseMTM6
R	KOG1090	Predicteddual-specificityphosphatase
U	KOG1091	Ypt/Rab-specificGTPase-activatingproteinGYP6
U	KOG1092	Ypt/Rab-specificGTPase-activatingproteinGYP1
R	KOG1093	Predictedproteinkinase(containsTBCandRHODdomains)
T	KOG1094	DiscoidindomainreceptorDDR1
T	KOG1095	Proteintyrosinekinase
F	KOG1096	Adenosinemonophosphatedeaminase
F	KOG1097	Adeninedeaminase/adenosinedeaminase
AR	KOG1098	PutativeSAM-dependentrRNAmethyltransferaseSPB1
DR	KOG1099	SAM-dependentmethyltransferase/celldivisionproteinFtsJ
O	KOG1100	PredictedE3ubiquitinligase
DR	KOG1101	ApoptosisinhibitorIAP1andrelatedBIRdomainproteins
R	KOG1102	Rab6GTPaseactivatorGAPCenAandrelatedTBCdomainproteins
S	KOG1103	Predictedcoiled-coilprotein
A	KOG1104	Nuclearcap-bindingcomplexsubunitNCBP1/CBP80
K	KOG1105	TranscriptionelongationfactorTFIIS/Cofactorofenhancer-bindingproteinSp1
S	KOG1106	Uncharacterizedconservedprotein
U	KOG1107	MembranecoatcomplexRetromersubunitVPS35
R	KOG1108	Predictedheme/steroidbindingprotein
R	KOG1109	VacuolemembraneproteinVMP1
R	KOG1110	PutativesteroidmembranereceptorHpr6.6/25-Dx
MOI	KOG1111	N-acetylglucosaminyltransferasecomplexsubunitPrequiredforphosphatidylinositolbiosynthesis/Sulfolipidsynthase
F	KOG1112	Ribonucleotidereductasealphasubunit
T	KOG1113	cAMP-dependentproteinkinasetypesIandIIregulatorysubunit
O	KOG1114	TripeptidylpeptidaseII
IT	KOG1115	Ceramidekinase
IT	KOG1116	Sphingosinekinaseinvolvedinsphingolipidmetabolism
TZ	KOG1117	Rho-andArf-GTPaseactivatingproteinARAP3
IT	KOG1118	Lysophosphatidicacidacyltransferaseendophilin/SHinvolvedinsynapticvesicleformation
CU	KOG1119	MitochondrialFe-SclusterbiosynthesisproteinISA2(containsaHesB-likedomain)
P	KOG1120	Fe-SclusterbiosynthesisproteinISA1(containsaHesB-likedomain)
L	KOG1121	Tam3-transposase(Acfamily)
A	KOG1122	tRNAandrRNAcytosine-C5-methylase(nucleolarproteinNOL1/NOP2)
KL	KOG1123	RNApolymeraseIItranscriptioninitiation/nucleoti3'-5'helicasesubunitSSL2
R	KOG1124	FOG:TPRrepeat
R	KOG1125	TPRrepeat-containingprotein
D	KOG1126	DNA-bindingcelldivisioncyclecontrolprotein
A	KOG1127	TPRrepeat-containingprotein
R	KOG1128	UncharacterizedconservedproteincontainsTPRrepeats
R	KOG1129	TPRrepeat-containingprotein
T	KOG1130	PredictedG-alphaGTPaseinteractionproteincontainsGoLocodomain
KL	KOG1131	RNApolymeraseIItranscriptioninitiation/nucleoti5'-3'helicasesubunitRAD3
L	KOG1132	HelicaseoftheDEADsuperfamily
L	KOG1133	HelicaseoftheDEADsuperfamily
R	KOG1134	Uncharacterizedconservedprotein
A	KOG1135	mRNAcleavageandpolyadenylationfactorIIcomplexsubunitCFT2(CPSFsubunit)
A	KOG1136	Predictedcleavageandpolyadenylationspecificityfactor(CPSFsubunit)
A	KOG1137	mRNAcleavageandpolyadenylationfactorIIcomplexBRR5(CPSFsubunit)
A	KOG1138	Predictedcleavageandpolyadenylationspecificityfactor(CPSFsubunit)
O	KOG1139	Predictedubiquitin-proteinligaseoftheN-recogninfamily
O	KOG1140	N-endrulepathwayrecognitioncomponentUBR1
B	KOG1141	Predictedhistonemethyltransferase
K	KOG1142	TranscriptioninitiationfactorTFIIDsubunitTAF12(alsocomponentofhistoneacetyltransferaseSAGA)
J	KOG1143	Predictedtranslationelongationfactor
J	KOG1144	Translationinitiationfactor5B(eIF-5B)
J	KOG1145	"Mitochondrialtranslationinitiationfactor2(IF-2;GTPase)"
R	KOG1146	Homeoboxprotein
J	KOG1147	Glutamyl-tRNAsynthetase
J	KOG1148	Glutaminyl-tRNAsynthetase
J	KOG1149	Glutamyl-tRNAsynthetase(mitochondrial)
O	KOG1150	Predictedmolecularchaperone(DnaJsuperfamily)
T	KOG1151	Tousled-likeproteinkinase
T	KOG1152	Signaltransductionserine/threoninekinasewithPAS/PACsensordomain
O	KOG1153	Subtilisin-relatedprotease/VacuolarproteaseB
E	KOG1154	Gamma-glutamylkinase
DO	KOG1155	Anaphase-promotingcomplex(APC)Cdc23subunit
B	KOG1156	N-terminalacetyltransferase
T	KOG1157	Predictedguanosinepolyphosphatepyrophosphohydrolase/synthase
C	KOG1158	NADP/FADdependentoxidoreductase
C	KOG1159	NADP-dependentflavoproteinreductase
C	KOG1160	Fe-Soxidoreductase
P	KOG1161	ProteininvolvedinvacuolarpolyphosphateaccumulacontainsSPXdomain
U	KOG1162	Predictedsmallmoleculetransporter
T	KOG1163	Caseinkinase(serine/threonine/tyrosineproteinkinase)
T	KOG1164	Caseinkinase(serine/threonine/tyrosineproteinkinase)
T	KOG1165	Caseinkinase(serine/threonine/tyrosineproteinkinase)
D	KOG1166	Mitoticcheckpointserine/threonineproteinkinase
L	KOG1167	Serine/threonineproteinkinaseoftheCDC7subfamirepairandrecombination
K	KOG1168	TranscriptionfactorACJ6/BRN-3containsPOUandHOXdomains
IT	KOG1169	Diacylglycerolkinase
I	KOG1170	Diacylglycerolkinase
P	KOG1171	Metallothionein-likeprotein
P	KOG1172	Na+-independentCl/HCO3exchangerAE1andrelatedtransporters(SLC4family)
DO	KOG1173	Anaphase-promotingcomplex(APC)Cdc16subunit
DO	KOG1174	Anaphase-promotingcomplex(APC)subunit7
I	KOG1175	Acyl-CoAsynthetase
I	KOG1176	Acyl-CoAsynthetase
I	KOG1177	Longchainfattyacidacyl-CoAligase
Q	KOG1178	Non-ribosomalpeptidesynthetase/alpha-aminoadipatereductaseandrelatedenzymes
I	KOG1179	Verylong-chainacyl-CoAsynthetase/fattyacidtransporter
I	KOG1180	Acyl-CoAsynthetase
S	KOG1181	FOG:Low-complexity
C	KOG1182	Branchedchainalpha-ketoaciddehydrogenasecomplealphasubunit
MO	KOG1183	N-acetylglucosaminyltransferasecomplexsubunitPrequiredforphosphatidylinositolbiosynthesis
EH	KOG1184	Thiaminepyrophosphate-requiringenzyme
EH	KOG1185	Thiaminepyrophosphate-requiringenzyme
Q	KOG1186	Copperamineoxidase
T	KOG1187	Serine/threonineproteinkinase
R	KOG1188	WD40repeatprotein
E	KOG1189	Globaltranscriptionalregulatorcelldivisioncontrolprotein
A	KOG1190	Polypyrimidinetract-bindingprotein
J	KOG1191	MitochondrialGTPase
GC	KOG1192	UDP-glucuronosylandUDP-glucosyltransferase
O	KOG1193	Arginyl-tRNA-proteintransferase
K	KOG1194	PredictedDNA-bindingproteincontainsSANTandELM2domains
J	KOG1195	Arginyl-tRNAsynthetase
R	KOG1196	PredictedNAD-dependentoxidoreductase
CR	KOG1197	Predictedquinoneoxidoreductase
CR	KOG1198	Zinc-bindingoxidoreductase
Q	KOG1199	Short-chainalcoholdehydrogenase/3-hydroxyacyl-CoAdehydrogenase
I	KOG1200	Mitochondrial/plastidialbeta-ketoacyl-ACPreductase
Q	KOG1201	Hydroxysteroid17-betadehydrogenase11
I	KOG1202	Animal-typefattyacidsynthaseandrelatedproteins
G	KOG1203	Predicteddehydrogenase
Q	KOG1204	Predicteddehydrogenase
Q	KOG1205	Predicteddehydrogenase
I	KOG1206	Peroxisomalmultifunctionalbeta-oxidationproteinandrelatedenzymes
Q	KOG1207	Diacetylreductase/L-xylulosereductase
Q	KOG1208	Dehydrogenaseswithdifferentspecificities(relatedtoshort-chainalcoholdehydrogenases)
Q	KOG1209	1-Acyldihydroxyacetonephosphatereductaseandrelateddehydrogenases
Q	KOG1210	Predicted3-ketosphinganinereductase
J	KOG1211	Amidases
JIT	KOG1212	Amidases
D	KOG1213	SisterchromatidcohesioncomplexCohesinsubunitRAD21/SCC1
MW	KOG1214	Nidogenandrelatedbasementmembraneproteinproteins
T	KOG1215	Low-densitylipoproteinreceptorscontainingCa2+-bindingEGF-likedomains
WV	KOG1216	vonWillebrandfactorandrelatedcoagulationproteins
T	KOG1217	FibrillinsandrelatedproteinscontainingCa2+-bindingEGF-likedomains
T	KOG1218	ProteinscontainingCa2+-bindingEGF-likedomains
T	KOG1219	UncharacterizedconservedproteincontainscadherinandEGFdomains
G	KOG1220	Phosphoglucomutase/phosphomannomutase
I	KOG1221	Acyl-CoAreductase
U	KOG1222	KinesinassociatedproteinKAP
E	KOG1223	Isochorismatesynthase
J	KOG1224	Para-aminobenzoate(PABA)synthaseABZ1
TW	KOG1225	Teneurin-1andrelatedextracellularmatrixproteincontainEGF-likerepeats
TW	KOG1226	Integrinbetasubunit(N-terminalportionofextracellularregion)
R	KOG1227	Putativemethyltransferase
S	KOG1228	Uncharacterizedconservedprotein
T	KOG1229	3'5'-cyclicnucleotidephosphodiesterases
R	KOG1230	Proteincontainingrepeatedkelchmotifs
C	KOG1231	ProteinscontainingtheFADbindingdomain
C	KOG1232	ProteinscontainingtheFADbindingdomain
R	KOG1233	Alkyl-dihydroxyacetonephosphatesynthase
R	KOG1234	ABC(ATPbindingcassette)1protein
R	KOG1235	Predictedunusualproteinkinase
R	KOG1236	Predictedunusualproteinkinase
E	KOG1237	H+/oligopeptidesymporter
R	KOG1238	Glucosedehydrogenase/cholinedehydrogenase/mandelonitrilelyase(GMCoxidoreductasefamily)
OU	KOG1239	Innermembraneproteintranslocaseinvolvedinrespiratorychainassembly
T	KOG1240	ProteinkinasecontainingWD40repeats
YU	KOG1241	Karyopherin(importin)beta1
J	KOG1242	ProteincontainingadaptinN-terminalregion
R	KOG1243	Proteinkinase
K	KOG1244	PredictedtranscriptionfactorRequiem/NEURO-D4
B	KOG1245	ChromatinremodelingcomplexWSTF-ISWIlargesubPHDandBROMOdomains)
R	KOG1246	DNA-bindingproteinjumonji/RBP2/SMCYcontainsJmjCdomain
J	KOG1247	Methionyl-tRNAsynthetase
S	KOG1248	Uncharacterizedconservedprotein
R	KOG1249	PredictedGTPases
E	KOG1250	Threonine/serinedehydratases
TE	KOG1251	Serineracemase
E	KOG1252	Cystathioninebeta-synthaseandrelatedenzymes
J	KOG1253	tRNAmethyltransferase
C	KOG1254	ATP-citratelyase
C	KOG1255	Succinyl-CoAsynthetasealphasubunit
I	KOG1256	Long-chainacyl-CoAsynthetases(AMP-forming)
C	KOG1257	NADP+-dependentmalicenzyme
A	KOG1258	mRNAprocessingprotein
TZ	KOG1259	Nischarinmodulatorofintegrinalpha5subunitaction
C	KOG1260	Isocitratelyase
C	KOG1261	Malatesynthase
R	KOG1262	FAD-bindingproteinDIMINUTO
Q	KOG1263	Multicopperoxidases
I	KOG1264	PhospholipaseC
I	KOG1265	PhospholipaseC
T	KOG1266	Proteinkinase
KR	KOG1267	MitochondrialtranscriptionterminationfactormTERF
M	KOG1268	Glucosamine6-phosphatesynthetasescontainamidotransferaseandphosphosugarisomerasedomains
IR	KOG1269	SAM-dependentmethyltransferases
H	KOG1270	Methyltransferases
R	KOG1271	Methyltransferases
A	KOG1272	WD40-repeat-containingsubunitofthe18SrRNAprocessingcomplex
R	KOG1273	WD40repeatprotein
R	KOG1274	WD40repeatprotein
L	KOG1275	PAB-dependentpoly(A)ribonucleasesubunitPAN2
H	KOG1276	Protoporphyrinogenoxidase
U	KOG1277	EndosomalmembraneproteinsEMP70
U	KOG1278	EndosomalmembraneproteinsEMP70
B	KOG1279	Chromatinremodelingfactorsubunitandrelatedtranscriptionfactors
R	KOG1280	UncharacterizedconservedproteincontainingZZ-typeZn-finger
P	KOG1281	Na+/dicarboxylateNa+/tricarboxylateandphosphatetransporters
OE	KOG1282	Serinecarboxypeptidases(lysosomalcathepsinA)
O	KOG1283	Serinecarboxypeptidases
H	KOG1284	BifunctionalGTPcyclohydrolaseII/34-dihydroxy-2butanone-4-phosphatesynthase
Q	KOG1285	Betabeta-caro15'-dioxygenaseandrelatedenzymes
E	KOG1286	Aminoacidtransporters
E	KOG1287	Aminoacidtransporters
E	KOG1288	Aminoacidtransporters
E	KOG1289	Aminoacidtransporters
T	KOG1290	Serine/threonineproteinkinase
P	KOG1291	Mn2+andFe2+transportersoftheNRAMPfamily
F	KOG1292	Xanthine/uraciltransporters
R	KOG1293	Proteinscontainingarmadillo/beta-catenin-likerepeat
L	KOG1294	Apurinic/apyrimidinicendonucleaseandrelatedenzymes
A	KOG1295	Nonsense-mediateddecayproteinUpf3
S	KOG1296	Uncharacterizedconservedprotein
S	KOG1297	Uncharacterizedconservedprotein
I	KOG1298	Squalenemonooxygenase
U	KOG1299	VacuolarsortingproteinVPS45/Stt10(Sec1family)
U	KOG1300	VesicletraffickingproteinSec1
U	KOG1301	VesicletraffickingproteinSly1(Sec1family)
U	KOG1302	VacuolarsortingproteinVPS33/slp1(Sec1family)
E	KOG1303	Aminoacidtransporters
E	KOG1304	Aminoacidtransporters
E	KOG1305	Aminoacidtransporterprotein
PT	KOG1306	Ca2+/Na+exchangerNCX1andrelatedproteins
PT	KOG1307	K+-dependentCa2+/Na+exchangerNCKX1andrelatedproteins
OT	KOG1308	Hsp70-interactingproteinHip/TransientcomponentofprogesteronereceptorcomplexesandanHsp70-bindingprotein
T	KOG1309	SuppressorofG2alleleofskp1
R	KOG1310	WD40repeatprotein
R	KOG1311	DHHC-typeZn-fingerproteins
R	KOG1312	DHHC-typeZn-fingerproteins
R	KOG1313	DHHC-typeZn-fingerproteins
R	KOG1314	DHHC-typeZn-fingerprotein
R	KOG1315	PredictedDHHC-typeZn-fingerprotein
E	KOG1316	Argininosuccinatelyase
C	KOG1317	Fumarase
K	KOG1318	HelixloophelixtranscriptionfactorEB
K	KOG1319	bHLHZiptranscriptionfactorBIGMAX
O	KOG1320	Serineprotease
H	KOG1321	Protohemeferro-lyase(ferrochelatase)
M	KOG1322	GDP-mannosepyrophosphorylase/mannose-1-phosphateguanylyltransferase
T	KOG1323	Serine/threoninephosphatase
H	KOG1324	Dihydrofolatereductase
I	KOG1325	Lysophospholipase
M	KOG1326	Membrane-associatedproteinFER-1andrelatedferlicontainmultipleC2domains
T	KOG1327	Copine
UT	KOG1328	SynapticvesicleproteinBAIAP3involvedinvesiclepriming/regulation
I	KOG1329	PhospholipaseD1
G	KOG1330	Sugartransporter/spinstertransmembraneprotein
R	KOG1331	Predictedmethyltransferase
U	KOG1332	VesiclecoatcomplexCOPIIsubunitSEC13
S	KOG1333	Uncharacterizedconservedprotein
R	KOG1334	WD40repeatprotein
C	KOG1335	Dihydrolipoamidedehydrogenase
R	KOG1336	Monodehydroascorbate/ferredoxinreductase
R	KOG1337	N-methyltransferase
S	KOG1338	Uncharacterizedconservedprotein
O	KOG1339	Aspartylprotease
IG	KOG1340	Prosaposin
P	KOG1341	Na+/K+transporter
B	KOG1342	HistonedeacetylasecomplexcatalyticcomponentRPD3
B	KOG1343	HistonedeacetylasecomplexcatalyticcomponentHDA1
B	KOG1344	Predictedhistonedeacetylase
T	KOG1345	Serine/threoninekinase
T	KOG1346	Programmedcelldeath8(apoptosis-inducingfactor)
R	KOG1347	Uncharacterizedmembraneproteinpredictedeffluxpump
O	KOG1348	Asparaginylpeptidases
O	KOG1349	Gpi-anchortransamidase
C	KOG1350	F0F1-typeATPsynthasebetasubunit
C	KOG1351	VacuolarH+-ATPaseV1sectorsubunitB
C	KOG1352	VacuolarH+-ATPaseV1sectorsubunitA
C	KOG1353	F0F1-typeATPsynthasealphasubunit
T	KOG1354	Serine/threonineproteinphosphatase2Aregulatorysubunit
F	KOG1355	Adenylosuccinatesynthase
K	KOG1356	Putativetranscriptionfactor5qNCAcontainsJmjCdomain
O	KOG1357	Serinepalmitoyltransferase
O	KOG1358	Serinepalmitoyltransferase
E	KOG1359	GlycineC-acetyltransferase/2-amino-3-ketobutyrate-CoAligase
H	KOG1360	5-aminolevulinatesynthase
L	KOG1361	Predictedhydrolaseinvolvedininterstrandcross-linkrepair
I	KOG1362	Cholinetransporter-likeprotein
T	KOG1363	Predictedregulatoroftheubiquitinpathway(containsUASandUBXdomains)
O	KOG1364	PredictedubiquitinregulatoryproteincontainsUASandUBXdomains
AR	KOG1365	RNA-bindingproteinFusillicontainsRRMdomain
O	KOG1366	Alpha-macroglobulin
G	KOG1367	3-phosphoglyceratekinase
E	KOG1368	Threoninealdolase
G	KOG1369	Hexokinase
H	KOG1370	S-adenosylhomocysteinehydrolase
M	KOG1371	UDP-glucose4-epimerase/UDP-sulfoquinovosesynthase
G	KOG1372	GDP-mannose46dehydratase
UO	KOG1373	TransportproteinSec61alphasubunit
Z	KOG1374	Gammatubulin
Z	KOG1375	Betatubulin
Z	KOG1376	Alphatubulin
F	KOG1377	Uridine5'-monophosphatesynthase/orotatephosphoribosyltransferase
G	KOG1378	Purpleacidphosphatase
T	KOG1379	Serine/threonineproteinphosphatase
H	KOG1380	HemeAfarnesyltransferase
H	KOG1381	Para-hydroxybenzoate-polyprenyltransferase
R	KOG1382	Multipleinositolpolyphosphatephosphatase
E	KOG1383	Glutamatedecarboxylase/sphingosinephosphatelyase
J	KOG1384	tRNAdelta(2)-isopentenylpyrophosphatetransferase
F	KOG1385	Nucleosidephosphatase
F	KOG1386	Nucleosidephosphatase
M	KOG1387	Glycosyltransferase
TV	KOG1388	Attractinandplatelet-activatingfactoracetylhydrolase
I	KOG1389	3-oxoacylCoAthiolase
I	KOG1390	Acetyl-CoAacetyltransferase
I	KOG1391	Acetyl-CoAacetyltransferase
I	KOG1392	Acetyl-CoAacetyltransferase
I	KOG1393	Hydroxymethylglutaryl-CoAsynthase
IQ	KOG1394	3-oxoacyl-(acyl-carrier-protein)synthase(IandII)
E	KOG1395	Tryptophansynthasebetachain
S	KOG1396	Uncharacterizedconservedprotein
P	KOG1397	Ca2+/H+antiporterVCX1andrelatedproteins
S	KOG1398	Uncharacterizedconservedprotein
Q	KOG1399	Flavin-containingmonooxygenase
R	KOG1400	PredictedATP-dependentproteasePILcontainsLONdomain
E	KOG1401	Acetylornithineaminotransferase
E	KOG1402	Ornithineaminotransferase
R	KOG1403	Predictedalanine-glyoxylateaminotransferase
E	KOG1404	Alanine-glyoxylateaminotransferaseAGT2
E	KOG1405	4-aminobutyrateaminotransferase
I	KOG1406	Peroxisomal3-ketoacyl-CoA-thiolaseP-44/SCP2
S	KOG1407	WD40repeatprotein
S	KOG1408	WD40repeatprotein
S	KOG1409	UncharacterizedconservedproteincontainsWD40repeatsandFYVEdomains
YU	KOG1410	NucleartransportreceptorRanBP16(importinbetasuperfamily)
E	KOG1411	Aspartateaminotransferase/GlutamicoxaloacetictransaminaseAAT1/GOT2
E	KOG1412	Aspartateaminotransferase/GlutamicoxaloacetictransaminaseAAT2/GOT1
G	KOG1413	N-acetylglucosaminyltransferaseI
K	KOG1414	TranscriptionalactivatorFOSB/c-FosandrelatedbZIPtranscriptionfactors
O	KOG1415	UbiquitinC-terminalhydrolaseUCHL1
J	KOG1416	tRNA(1-methyladenosine)methyltransferasesubunitGCD10
E	KOG1417	Homogentisate12-dioxygenase
P	KOG1418	TandemporedomainK+channel
P	KOG1419	Voltage-gatedK+channelKCNQ
PT	KOG1420	Ca2+-activatedK+channelSlowpokealphasubunit
R	KOG1421	Predictedsignaling-associatedprotein(containsaPDZdomain)
P	KOG1422	IntracellularCl-channelCLICcontainsGSTdomain
DT	KOG1423	Ras-likeGTPaseERA
R	KOG1424	PredictedGTP-bindingproteinMMR1
Z	KOG1425	Microfibrillar-associatedproteinMFAP1
S	KOG1426	FOG:RCC1domain
S	KOG1427	UncharacterizedconservedproteincontainsRCC1domain
T	KOG1428	InhibitoroftypeVadenylylcyclases/NeuronalpresynapticproteinHighwire/PAM/RPM-1
GM	KOG1429	dTDP-glucose4-6-dehydratase/UDP-glucuronicaciddecarboxylase
IE	KOG1430	C-3steroldehydrogenase/3-beta-hydroxysteroiddehydrogenaseandrelateddehydrogenases
GO	KOG1431	GDP-L-fucosesynthetase
R	KOG1432	PredictedDNArepairexonucleaseSIA1
L	KOG1433	DNArepairproteinRAD51/RHP55
DL	KOG1434	MeioticrecombinationproteinDmc1
IT	KOG1435	Sterolreductase/laminBreceptor
F	KOG1436	Dihydroorotatedehydrogenase
MW	KOG1437	Fasciclinandrelatedadhesionglycoproteins
E	KOG1438	Anthranilatephosphoribosyltransferase
O	KOG1439	RABproteinsgeranylgeranyltransferasecomponentA(RABescortprotein)
I	KOG1440	CDP-diacylglycerolsynthase
GE	KOG1441	Glucose-6-phosphate/phosphateandphosphoenolpyruvate/phosphateantiporter
GOU	KOG1442	GDP-fucosetransporter
S	KOG1443	Predictedintegralmembraneprotein
GOU	KOG1444	Nucleotide-sugartransporterVRG4/SQV-7
Z	KOG1445	Tumor-specificantigen(containsWDrepeats)
ABO	KOG1446	HistoneH3(Lys4)methyltransferasecomplexandRNAsubunitSWD2
C	KOG1447	GTP-specificsuccinyl-CoAsynthetasebetasubunit
FE	KOG1448	Ribose-phosphatepyrophosphokinase
T	KOG1449	PredictedRhoGTPase-activatingproteinCdGAPr
T	KOG1450	PredictedRhoGTPase-activatingprotein
T	KOG1451	Oligophrenin-1andrelatedRhoGTPase-activatingproteins
T	KOG1452	PredictedRhoGTPase-activatingprotein
T	KOG1453	ChimaerinandrelatedRhoGTPaseactivatingproteins
R	KOG1454	Predictedhydrolase/acyltransferase(alpha/betahydrolasesuperfamily)
I	KOG1455	Lysophospholipase
A	KOG1456	HeterogeneousnuclearribonucleoproteinL(containsRRMrepeats)
R	KOG1457	RNAbindingprotein(containsRRMrepeats)
G	KOG1458	Fructose-16-bisphosphatase
I	KOG1459	Squalenesynthetase
GMO	KOG1460	GDP-mannosepyrophosphorylase
J	KOG1461	Translationinitiationfactor2Bepsilonsubunit(eIF-2Bepsilon/GCD6)
J	KOG1462	Translationinitiationfactor2Bgammasubunit(eIF-2Bgamma/GCD1)
O	KOG1463	26SproteasomeregulatorycomplexsubunitRPN6/PSMD11
OT	KOG1464	COP9signalosomesubunitCSN2
J	KOG1465	Translationinitiationfactor2Bbetasubunit(eIF-2Bbeta/GCD7)
J	KOG1466	Translationinitiationfactor2Balphasubunit(eIF-2Balpha/GCN3)
J	KOG1467	Translationinitiationfactor2Bdeltasubunit(eIF-2Bdelta/GCD2)
J	KOG1468	PredictedtranslationinitiationfactorrelatedtoeIF-2Balpha/beta/deltasubunits(CIG2/IDI2)
R	KOG1469	Predictedacyl-CoAdehydrogenase
I	KOG1470	PhosphatidylinositoltransferproteinPDR16andrelatedproteins
I	KOG1471	PhosphatidylinositoltransferproteinSEC14andrelatedproteins
BK	KOG1472	HistoneacetyltransferaseSAGA/ADAcatalyticsubunitPCAF/GCN5andrelatedproteins
BK	KOG1473	NucleosomeremodelingfactorsubunitNURF301/BPTF
K	KOG1474	TranscriptioninitiationfactorTFIIDsubunitBDF1andrelatedbromodomainproteins
A	KOG1475	RibosomalproteinRPL1/RPL2/RL4L4
O	KOG1476	Beta-13-glucuronyltransferaseB3GAT1/SQV-8
R	KOG1477	SPRYdomain-containingproteins
I	KOG1478	3-ketosterolreductase
F	KOG1479	Nucleosidetransporter
T	KOG1480	Netrintransmembranereceptorunc-5
E	KOG1481	Cysteinesynthase
P	KOG1482	Zn2+transporter
P	KOG1483	Zn2+transporterZNT1andrelatedCd2+/Zn2+transporters(cationdiffusionfacilitatorsuperfamily)
P	KOG1484	PutativeZn2+transporterMSC2(cationdiffusionfacilitatorsuperfamily)
P	KOG1485	MitochondrialFe2+transporterMMT1andrelatedtransporters(cationdiffusionfacilitatorsuperfamily)
T	KOG1486	GTP-bindingproteinDRG2(ODNsuperfamily)
T	KOG1487	GTP-bindingproteinDRG1(ODNsuperfamily)
J	KOG1488	TranslationalrepressorPumilio/PUF3andrelatedRNA-bindingproteins(Pufsuperfamily)
R	KOG1489	PredictedGTP-bindingprotein(ODNsuperfamily)
R	KOG1490	GTP-bindingproteinCRFG/NOG1(ODNsuperfamily)
R	KOG1491	PredictedGTP-bindingprotein(ODNsuperfamily)
R	KOG1492	C3H1-typeZn-fingerprotein
DO	KOG1493	Anaphase-promotingcomplex(APC)subunit11
C	KOG1494	NAD-dependentmalatedehydrogenase
C	KOG1495	Lactatedehydrogenase
C	KOG1496	Malatedehydrogenase
OT	KOG1497	COP9signalosomesubunitCSN4
O	KOG1498	26SproteasomeregulatorycomplexsubunitRPN5/PSMD12
OKT	KOG1499	ProteinarginineN-methyltransferasePRMT1andrelatedenzymes
OK	KOG1500	ProteinarginineN-methyltransferaseCARM1
R	KOG1501	ArginineN-methyltransferase
V	KOG1502	Flavonolreductase/cinnamoyl-CoAreductase
EF	KOG1503	Phosphoribosylpyrophosphatesynthetase-associatedprotein
E	KOG1504	OrnithinecarbamoyltransferaseOTC/ARG3
I	KOG1505	LysophosphatidicacidacyltransferaseLPAATandrelatedacyltransferases
H	KOG1506	S-adenosylmethioninesynthetase
BD	KOG1507	NucleosomeassemblyproteinNAP-1
L	KOG1508	DNAreplicationfactor/proteinphosphataseinhibitorSET/SPR-2
D	KOG1509	Predictednucleicacid-bindingproteinASMTL
K	KOG1510	RNApolymeraseIIholoenzymeandmediatorsubcomplesubunitSURB7/SRB7
I	KOG1511	MevalonatekinaseMVK/ERG12
R	KOG1512	PHDZn-fingerprotein
KT	KOG1513	NuclearhelicaseMOP-3/SNO(DEAD-boxsuperfamily)
L	KOG1514	Originrecognitioncomplexsubunit1andrelatedproteins
V	KOG1515	Arylacetamidedeacetylase
R	KOG1516	Carboxylesteraseandrelatedproteins
D	KOG1517	GuaninenucleotidebindingproteinMIP1
H	KOG1518	CoproporphyrinogenIIIoxidaseCPO/HEM13
R	KOG1519	Predictedmitochondrialcarrierprotein
R	KOG1520	Predictedalkaloidsynthase/SurfacemucinHemomucin
K	KOG1521	RNApolymeraseIandIIIsubunitRPA40/RPC40
K	KOG1522	RNApolymeraseIIsubunitPOLR2C/RPB3
Z	KOG1523	Actin-relatedproteinArp2/3complexsubunitARPC1/p41-ARC
R	KOG1524	WD40repeat-containingproteinCHE-2
D	KOG1525	SisterchromatidcohesioncomplexCohesinsubunitPDS5
C	KOG1526	NADP-dependentisocitratedehydrogenase
H	KOG1527	UroporphyrinIIImethyltransferase
FP	KOG1528	Salt-sensitive3'-phosphoadenosine-5'-phosphataseHAL2/SAL1
V	KOG1529	Mercaptopyruvatesulfurtransferase/thiosulfatesulfurtransferase
P	KOG1530	Rhodanese-relatedsulfurtransferase
C	KOG1531	F0F1-typeATPsynthasegammasubunit
L	KOG1532	GTPaseXAB1interactswithDNArepairproteinXPA
R	KOG1533	PredictedGTPase
K	KOG1534	PutativetranscriptionfactorFET5
R	KOG1535	Predictedfumarylacetoacetatehydralase
H	KOG1536	Biotinholocarboxylasesynthetase/biotin-proteinligase
E	KOG1537	Homoserinekinase
R	KOG1538	UncharacterizedconservedproteinWDR10containsWD40repeats
R	KOG1539	WDrepeatprotein
H	KOG1540	UbiquinonebiosynthesismethyltransferaseCOQ5
R	KOG1541	Predictedproteincarboxylmethylase
O	KOG1542	CysteineproteinaseCathepsinF
O	KOG1543	CysteineproteinaseCathepsinL
R	KOG1544	PredictedcysteineproteinaseTIN-ag
P	KOG1545	Voltage-gatedshaker-likeK+channelKCNA
DO	KOG1546	Metacaspaseinvolvedinregulationofapoptosis
DTZ	KOG1547	SeptinCDC10andrelatedP-loopGTPases
